antecedents_str,consequents_str,support,confidence,lift
"and compliance, regulation",law,0.006771841047774967,1.0,147.67032967032966
and compliance,regulation,0.006771841047774967,1.0,147.67032967032966
regulation,and compliance,0.006771841047774967,1.0,147.67032967032966
"and compliance, law",regulation,0.006771841047774967,1.0,147.67032967032966
regulation,"and compliance, law",0.006771841047774967,1.0,147.67032967032966
and compliance,"law, regulation",0.006771841047774967,1.0,147.67032967032966
law,"and compliance, regulation",0.006771841047774967,1.0,147.67032967032966
and compliance,law,0.006771841047774967,1.0,147.67032967032966
law,and compliance,0.006771841047774967,1.0,147.67032967032966
regulation,law,0.006771841047774967,1.0,147.67032967032966
law,regulation,0.006771841047774967,1.0,147.67032967032966
"law, regulation",and compliance,0.006771841047774967,1.0,147.67032967032966
"english language, grammar",vocabulary,0.005209108498288436,0.8333333333333334,94.10364145658264
vocabulary,"english language, grammar",0.005209108498288436,0.5882352941176471,94.10364145658264
physiology,anatomy,0.005209108498288436,0.5882352941176471,83.20743034055728
anatomy,physiology,0.005209108498288436,0.736842105263158,83.20743034055728
deep learning,"artificial neural networks, difficulty:hard",0.006771841047774967,0.6546762589928058,82.21999596584415
"artificial neural networks, difficulty:hard",deep learning,0.006771841047774967,0.8504672897196262,82.21999596584415
"grammar, vocabulary",english language,0.005209108498288436,0.7526881720430109,80.27479091995222
english language,"grammar, vocabulary",0.005209108498288436,0.5555555555555556,80.27479091995221
